Date,Close,prob_up,signal,true_label,fwd_ret_5
2024-04-23,2327.699951171875,0.5826467,1,0,-0.015594814447562166
2024-04-24,2324.5,0.5715995,1,0,-0.01058296307001505
2024-04-25,2329.800048828125,0.54215586,1,0,-0.013134216248146147
2024-04-26,2334.800048828125,0.5135862,1,0,-0.015333239711937452
2024-04-29,2345.39990234375,0.52907866,1,0,-0.010147439958412607
2024-04-30,2291.39990234375,0.5464033,1,1,0.010386684927315093
2024-05-02,2299.199951171875,0.52219784,1,1,0.01430938899751033
2024-05-03,2299.0,0.51893795,1,1,0.029708590181872552
2024-05-07,2315.199951171875,0.5304118,1,1,0.016499633715238993
2024-05-08,2313.60009765625,0.5579626,1,1,0.03246017044678706
2024-05-09,2332.10009765625,0.5602331,1,1,0.020539385248467434
2024-05-10,2367.300048828125,0.558149,1,1,0.018966713731948248
2024-05-13,2336.10009765625,0.529098,1,1,0.04186456084892076
2024-05-14,2353.39990234375,0.5243366,1,1,0.02902186269324858
2024-05-16,2380.0,0.52984095,1,0,-0.018907563025210128
2024-05-17,2412.199951171875,0.5109502,1,0,-0.033040358504756506
2024-05-20,2433.89990234375,0.5073579,1,0,-0.03233491693561019
2024-05-21,2421.699951171875,0.51585746,1,0,-0.033612711725232614
2024-05-22,2389.199951171875,0.50695825,1,0,-0.019378892421881844
2024-05-23,2335.0,0.49959773,-1,0,-0.00518205467077093
2024-05-28,2355.199951171875,0.49908856,-1,0,-0.012610373551127707
2024-05-30,2342.89990234375,0.4872159,-1,1,0.011694971030117296
2024-05-31,2322.89990234375,0.48956826,-1,0,-0.007619764912821347
2024-06-03,2346.60009765625,0.5274769,1,0,-0.016577237222152985
2024-06-04,2325.5,0.5591028,1,0,-0.007740270909481817
2024-06-05,2354.10009765625,0.58470744,1,0,-0.0076887544732148205
2024-06-06,2370.300048828125,0.57542276,1,0,-0.02957435607821357
2024-06-07,2305.199951171875,0.5682906,1,1,0.011365587249191123
2024-06-11,2307.5,0.51559407,1,1,0.00992411802546056
2024-06-12,2336.0,0.5056986,1,1,0.007619883916149428
2024-06-18,2330.39990234375,0.5023513,1,0,-0.013388239134620727
2024-06-20,2353.800048828125,0.50984794,1,0,-0.012447976982034814
2024-06-26,2299.199951171875,0.50129056,1,1,0.02635703677070933
2024-06-27,2324.5,0.5035887,1,1,0.027532802753280183
2024-06-28,2327.699951171875,0.5016974,1,1,0.011814237477710599
2024-07-01,2327.60009765625,0.50322354,1,1,0.013962879634145775
2024-07-02,2323.0,0.49479598,-1,1,0.021179488235848032
2024-07-03,2359.800048828125,0.4809729,-1,1,0.02339179168984562
2024-07-05,2388.5,0.49646944,-1,1,0.01067615658362997
2024-07-08,2355.199951171875,0.52448773,1,1,0.028744884755194322
2024-07-09,2360.10009765625,0.51051974,1,1,0.043345536398685436
2024-07-10,2372.199951171875,0.51198924,1,1,0.03482004019747387
