entry_date,exit_date,direction,entry_price,exit_price,gross_ret,net_ret,pnl,equity,win,stopped_out,month
2025-07-23,2025-07-28,Long,3394.1,3309.1,-2.504,-2.524,-3094.85,119505.33,False,True,2025-07
2025-07-31,2025-08-05,Long,3293.2,3400.3,3.252,3.232,3862.6,123367.93,True,False,2025-07
2025-08-12,2025-08-17,Long,3348.9,3313.4,-1.06,-1.08,-1332.43,122035.5,False,False,2025-08
2025-08-22,2025-08-27,Long,3374.4,3473.7,2.943,2.923,3566.79,125602.29,True,False,2025-08
2025-08-29,2025-09-03,Long,3473.7,3638.1,4.733,4.713,5919.27,131521.56,True,False,2025-08
2025-09-16,2025-09-21,Long,3688.9,3780.6,2.486,2.466,3243.11,134764.67,True,False,2025-09
2025-09-23,2025-09-28,Long,3780.6,3840.8,1.592,1.572,2118.96,136883.63,True,False,2025-09
2025-09-30,2025-10-05,Long,3840.8,3976.6,3.536,3.516,4812.45,141696.08,True,False,2025-09
2025-10-07,2025-10-12,Long,3976.6,4138.7,4.076,4.056,5747.69,147443.77,True,False,2025-10
2025-10-14,2025-10-19,Long,4138.7,4087.7,-1.232,-1.252,-1846.4,145597.36,False,False,2025-10
2025-10-21,2025-11-03,Long,4087.7,4000.3,-2.138,-2.158,-3142.16,142455.2,False,True,2025-10
2025-11-04,2025-11-09,Long,3947.7,4106.8,4.03,4.01,5712.73,148167.92,True,False,2025-11
2025-11-11,2025-11-16,Long,4106.8,4061.3,-1.108,-1.128,-1671.2,146496.72,False,False,2025-11
2025-11-20,2025-11-25,Long,4056.5,4218.3,3.989,3.969,5813.95,152310.67,True,False,2025-11
2025-12-04,2025-12-09,Long,4211.8,4285.5,1.75,1.73,2634.75,154945.41,True,False,2025-12
2025-12-11,2025-12-16,Long,4285.5,4339.5,1.26,1.24,1921.42,156866.83,True,False,2025-12
2025-12-18,2025-12-23,Long,4339.5,4529.1,4.369,4.349,6822.4,163689.24,True,False,2025-12
2025-12-26,2025-12-29,Long,4529.1,4325.1,-4.504,-4.524,-7405.64,156283.6,False,True,2025-12
2026-01-05,2026-01-10,Long,4436.9,4604.3,3.773,3.753,5865.17,162148.77,True,False,2026-01
2026-01-12,2026-01-17,Long,4604.3,4759.6,3.373,3.353,5436.75,167585.52,True,False,2026-01
2026-01-20,2026-01-25,Long,4759.6,5079.9,6.73,6.71,11244.24,178829.76,True,False,2026-01
